ID;Ubicación;Magnitud;Tipo de magnitud;Fecha;Latitud;Longitud;Profundidad [km]
us7000bfjr;86 km NW of Vallenar, Chile;6.8;mww;2020-09-01 04:09:28.470;-27.9686;-71.3062;21.0
us10008kce;40 km W of Valparaíso, Chile;6.9;mww;2017-04-24 21:38:30.820;-33.0375;-72.0617;28.0
us10007mn3;41 km SW of Quellón, Chile;7.6;mww;2016-12-25 14:22:27.010;-43.4064;-73.9413;38.0
us20003k7a;48 km W of Illapel, Chile;8.3;mww;2015-09-16 22:54:32.860;-31.5729;-71.6744;22.44
usc000p27i;53 km SW of Iquique, Chile;7.7;mww;2014-04-03 02:43:13.110;-20.5709;-70.4931;22.4
usc000nzvd;93 km NW of Iquique, Chile;8.2;mww;2014-04-01 23:46:47.260;-19.6097;-70.7691;25.0
official20100227063411530_30;36 km WNW of Quirihue, Chile;8.8;mww;2010-02-27 06:34:11.530;-36.122;-72.898;22.9
usp000fshy;36 km ESE of Tocopilla, Chile;7.7;mwc;2007-11-14 15:40:50.530;-22.247;-69.89;40.0
usp000dsw1;102 km ENE of Iquique, Chile;7.8;mwb;2005-06-13 22:44:33.900;-19.987;-69.197;115.6
usp000aj40;51 km SW of Punta de Bombón, Peru;7.6;mwc;2001-07-07 09:38:43.520;-17.543;-72.077;33.0
usp000714t;36 km NNE of Antofagasta, Chile;8.0;mw;1995-07-30 05:11:23.630;-23.34;-70.294;45.6
